,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어
259,345,184613,"팬물산 바네스 3단 4문 서랍장, 화이트",50610,4604379459,True,24,3.0,7.0,False,팬물산,0,7.0,NULL,NULL,NULL,NULL
260,346,184613,"[보루네오 하우스] 아르메 모던 600 5단 서랍장, 내추럴",95400,1371050322,False,48,5.0,3.0,False,보루네오,착불배송,3.0,NULL,NULL,NULL,NULL
261,347,184613,"라자가구 위드 드레스룸 600 3단 서랍장 af003, 오크화이트",49000,1909932799,False,50,4.0,1.0,False,라자가구,착불배송,1.0,NULL,NULL,NULL,NULL
262,348,184613,"보네드 끌레두 라탄 플라스틱 다용도 수납 서랍장, 5단와이드형서랍장",88000,162907444,False,5,5.0,7.0,False,,0,2.0,NULL,NULL,NULL,NULL
263,349,184613,보노하우스 데이지 내추럴우드 5단 서랍장,70900,1707164335,True,0,3.5,7.0,False,보노하우스,0,7.0,NULL,NULL,NULL,NULL
264,351,184613,"라자가구 위드 드레스룸 800 2단 서랍장 af006, 오크화이트",49000,1909932652,False,50,,,False,라자가구,착불배송,,NULL,NULL,NULL,NULL
265,352,184613,"라동 라탄 3단 수납장, 엔틱",46900,1674740028,True,0,3.0,5.0,False,,0,5.0,NULL,NULL,NULL,NULL
266,353,184613,"다가구 4단 서랍박스, 노아",99000,94361332,False,5,4.5,37.0,False,다가구,0,24.0,300 x 500x 669mm,베이지,합성목재,NULL
267,354,184613,"파란들 헤리 5단 600 서랍장/수납장, 메이플화이트",49800,4712166742,False,50,,,False,파란들,착불배송,,NULL,NULL,NULL,NULL
268,356,184613,"삼나무 원목 갤러리 서랍장, 3.삼나무 갤러리 슬림 5단서랍장",159000,92276568,False,0,4.5,30.0,False,버플리,착불배송,22.0,가로(W)570x세로(D)460x높이(H)1160(mm),베이지,원목,NULL
269,359,184613,"[동서가구] 론다 800 광폭 4단서랍장 DF642643, 색상:화이트",103550,2094145866,False,47,4.0,4.0,False,동서가구,0,4.0,NULL,NULL,NULL,NULL
270,361,184613,"한샘 샘베딩 스테디 서랍장 3단 800 (9종 택1), A형: 화이트(A)",146200,77836592,False,15,5.0,3.0,False,한샘,0,,NULL,NULL,NULL,NULL
271,362,184613,"퍼니브라운 랩소디 3단 와이드 서랍장, 화이트",165000,213776026,False,60,4.5,18.0,False,,착불배송,12.0,1200 x 515 x 740,화이트,합성목재,NULL
272,363,184613,"대도갤러리 해피트리 800 2단 서랍장, 화이트",54800,1271490889,False,7,4.0,2.0,False,대도갤러리,착불배송,1.0,NULL,NULL,NULL,NULL
273,365,184613,"대도갤러리 클래시 하이그로시 600 5단 서랍장, 화이트",59800,1448807908,False,20,4.0,11.0,False,대도갤러리,착불배송,11.0,NULL,NULL,NULL,NULL
274,366,184613,"가구데코 글로리 800 5단 서랍장 SW0142, 오크화이트",149000,71187154,False,54,4.0,13.0,False,가구데코,0,9.0,NULL,멀티(혼합)컬러,MDF,NULL
275,367,184613,"동서가구 미하스 600 3단서랍장 DF640770, 화이트",69900,255254190,False,29,3.5,9.0,False,동서가구,착불배송,8.0,NULL,NULL,NULL,NULL
276,369,184613,"데코라인 담다 600 5단 서랍장, 담다600 5단",109000,249091437,False,45,4.0,8.0,False,데코라인,착불배송,3.0,NULL,NULL,NULL,NULL
277,370,184613,"파란들 에일린 1200 5단 빅와이드 키큰 서랍장, 화이트오크",199000,1250950107,False,0,,,False,파란들,착불배송,,NULL,NULL,NULL,NULL
278,371,184613,"코끼리리빙 3단 와이드 패브릭 서랍장, 베이지",40800,270988197,True,15,4.5,3.0,False,코끼리리빙,0,3.0,29 x 85 x 70 cm,NULL,NULL,NULL
279,372,184613,"이프자인 벨로 깊은 5단 서랍장 1000, 아카시아",119000,196644558,False,40,4.0,7.0,False,,착불배송,1.0,NULL,NULL,NULL,NULL
280,374,184613,"블랑누보 화이트 폭좁은 슬림 5단 서랍장 500, 화이트(5단서랍장500)",129000,2116221715,False,18,5.0,2.0,False,블랑누보,착불배송,2.0,W500 x D400 x H1275mm / 발통 45mm,NULL,NULL,NULL
281,375,184613,"에보니아 이반투톤 라탄 4단 서랍장, 프레임(아이보리 + 오크), 바구니커버(브라운)",139920,207152199,True,20,4.0,19.0,False,에보니아,0,14.0,NULL,NULL,NULL,NULL
282,376,184613,보노하우스 데이지 내추럴우드 4단 서랍장,54500,1707164348,True,7,2.5,5.0,False,보노하우스,0,5.0,NULL,NULL,NULL,NULL
283,377,184613,"솔로리빙 시크릿 광폭 900 5단 서랍장 안방 드레스룸 옷 속옷 정리 수납장 수납서랍장 서랍정리 옷정리 광폭서랍장 침실서랍 옷수납 옷정리, 올화이트",179900,1500434799,False,0,4.0,7.0,False,,착불배송,7.0,NULL,NULL,NULL,NULL
284,378,184613,"각시방가구 다니엘 800 4단 서랍장, 오크백",65900,1429458249,False,0,4.0,5.0,False,,착불배송,5.0,NULL,NULL,NULL,NULL
285,381,184613,"아이리스 시스템 컬러 수납박스 깊은 대형 BC-500D, 핑크",16890,5275935450,True,5,,,False,아이리스,0,,40 x 50 x 30 cm,NULL,NULL,NULL
